Prompt,Completion,Review
ṣọ̀họn yèé ta ajínlẹ̀ mọ ìyín yòó san hun oríṣíríṣí ohun ọ̀gbìn?,ọ̀họn yèé ta ajínlẹ̀ mọ ìyín yòó san hun oríṣíríṣí ohun ọ̀gbìn,
kée ìyàtọ̀ nẹ́ẹ̀rín ajínlẹ̀ àti apòpò ó?,"ajínlẹ̀ é mú un àgbẹ̀ í dáa, apòpò né í pa koríko ní",
ibo sí táyé go ìgbà yè í rọjà?,táyé go ẹ̀gbẹ́ sáílò ílá rẹ́n ìgbà yè í rọjà,
ṣọ̀họn àgbàlígbà ye níbẹ̀ né kọ́ni bọ́ni yọ̀ ṣí yáà lo alẹ̀ lúkàlúkà?,ọ̀họn àgbàlígbà níbẹ̀ né kọ́ni bọ́ni yọ̀ ṣí yáà lo alẹ̀ lúkàlúkà,
ẹlẹ́rọ nílí ìgbà yòó yá lọ pákí nẹ́rọ àná-àn?,mìí yá lọ pákí nẹ́rọ àná àmọ́ ọ̀nẹ́ẹlẹ́rọ sí ń lí,
ṣẹ̀rọ yọ̀n hun í lọ ita yàtọ̀ sí ìyí yọ̀ọ̀ hun í lọ pákí?,ẹ̀rọ yọ̀n hun í lọ ita yàtọ̀ sí ìyí yọ̀ọ̀ hun í lọ pákí,
kéè ọ̀nà yọni yáà gò kọ́ni bé yá tálẹ̀?,ọni yá gbéhun alágbàtà kée bọ́ni tàa,
káà hun í wako nọ́nà ìbílẹ̀ ẹ́?,ọkọ́ nà hun í wako nọ́nà ìbílẹ̀ ní,
kọ́ọ̀ hun í wako nọ́nà ìgbàlódé?,katapílà nà hun í wako nọ́nà ìgbàlódé ní,
ṣọ́ni yáà rí ìrànlọ́wọ́ gbà nọ́dọ̀ ìjọba kée bé á gbẹká?,"bẹ́ẹ̀ni, ọni yáà rí ìrànlọ́wọ́ gbà nọ́dọ̀ ìjọba kée bé á gbẹká",
ṣọjà ni adémilúkà ṣi ra kete èso yòó gbẹ́ ní?,ọjà ni adémilúkà ṣi ra kete èso yòó gbẹ́ ní,
è sé yáà ṣàlàyé hún mi bọ́ni ṣi yáà ṣe un ùnjẹ họ́nhọn àgbàlígbà nókò?,"èmi, mìí yáà ṣàlàyé hún ọ bọ́ni ṣi yáà ṣe un ùnjẹ họ́nhọn àgbàlígbà nókò",
ṣalákọyìn wá níjẹ̀ta?,alákọyìn wá níjẹ̀ta,
kée ùdín ọ̀họn àgbẹ̀ kọ̀ọ̀kàn má mọ̀ nípa pakopako yòó dáa hún oko wọn-ọ́n?, ọ̀họn àgbẹ̀ kọ̀ọ̀kàn mọ̀ nípa pakopako yòó dáa hún oko wọn-ọ́n torí ọ́ọ̀ yúbi ìdánilẹ́kọ̀ọ́,
ṣiye aìna í rọjà ọ̀la?,iye aìna í re ọjà ọ̀la,
ṣàwa ọmọdé í ran ọ̀họn òbí ọwọ́ násìkò ìsinmi?,àwa ọmọdé í ran ọ̀họn òbí ọwọ́ násìkò ìsinmi,
kú wè nídì àti ríi dájú pé wòó bí ọ́n ò bá yọ́jàá?,"ò bá yọjà, ríi dájú pé wòó bí ọ́n nípa ọjà tuntun rẹ̀n",
kàrí bi yẹ̀ẹ́ kẹ́rùn rẹ̀ sí?,ẹ̀yìnkùlí nàá kẹ́rùn rẹ̀n sí ní,
ṣòbúkọ náà í rùn-ún?,òbúkọ náà í rùn,
kéè wọ́pọ̀ nánà òkè ọ̀kà?, ìjàmbà ọkọ̀ pọ̀ nánà ọkè ọ̀kà,
kí mì hun ánkọ́rọ́ ká nínọgbà?,mìí hun ánkọ́rọ́ ká kòkó nínọgbà,
ọ̀họn ọni sé ì ṣosu nẹ́yìnkùlí?,ọláéèbúnú àti súnkànmí í ṣosu nẹ́yìnkùlí,
"mìí wá ni yèé sẹn ẹlẹ́dẹ̀, ṣẹ̀ ṣì í sẹn ẹlẹ́dẹ̀ kọ?","bẹ́ẹ̀ni, à í sẹn ẹlẹ́dẹ̀",
ulí ọni sí tọ́lá yá ra gàrí?,"tọ́lá yú ilí ọlọ́bìnrinlẹ̀ àná, ó yá ra gàrí",
ṣìyá yèé bá wa í dẹ́n gàrí wá òórọ̀ nìí?,ìyá yèé bá wa í dẹ́n gàrí wá òórọ̀ nìí,
ṣadébáyọ̀ hún ewó ránṣẹ́ pẹ̀lú Opay?,adébáyọ̀ hún ewó ránṣẹ́ pẹ̀lú Opay,
wò ó ká gbìyànjú Palmpay kọ́ọ̀?,míì ṣì gbìyànjú Palmpay àmọ́ mìí ká gbọ́ pé ó rọrùn,
ṣọ́ni yáà hún ewó ránṣé pẹ̀lú Kuda ná ì sí ìdẹ̀wọ̀ kànkàn?,wòó yáà hún ewó ránṣé pẹ̀lú Kuda ná ì sí ìdẹ̀wọ̀ kànkàn,
kéè ápù mìí yá kọ́ bọ́ni ọ̀ ṣìí lo hún ìṣòwò?,mìí nẹ́ àti kọ́ bọ́ni ọ̀ ṣìí lo ápù Kuda hún ìṣòwò,
wòó ká gbọ́ bẹ́ni ọ̀n ṣíí yáwó ní ilé ìfowópamọ́ wa?,rárá mí ṣì gbọ́ bẹ́ni ọ̀n ṣíí yáwó ní ilé ìfowópamọ́ yẹn,
"ewó epo ká họ́n nú, kà rí bi ùlú yìí rèé?","ewó epo ká họ́n nú, á dè mọ ibi ùlú náà í rè ",
ṣọni mìí báfọ̀ ni Zenith bánkì fọ̀ í pé ọ̀ í mú lóònù hún ilé-iṣẹ́ kékèké ọ́wọ́?,ọni mìí báfọ̀ ni Zenith bánkì fọ̀ í pé ọ̀ í mú lóònù hún ilé-iṣẹ́ kékèké nọ́wọ́nọ́wọ́,
ṣewó oṣù mi ká wọlí-ìn?,"ewó oṣù mi ṣì wọlí, ẹ̀ mú í mi ni àkókó díẹ̀",
kàrí ibo mìí ṣi yáà bẹ̀rẹ̀ ìdókowò?,ibo ó bá rè mi ni mìí ṣi yáà bẹ̀rẹ̀ ìdókowò ní,
kí mì rà nẹ́dínwó nọ́jà yòó kọjá?,mìí ra ṣúgà nẹ́dínwó nọ́jà yòó kọjá,
ṣọ̀-ọ́n bú méwó gáàsì níbi à ṣi í ra a rẹ̀n?,"ọ̀n bú méwó gáàsì níbi à ṣi í ra a rẹ̀n, ebùrú ne me yẹ́n-ẹ̀n ní",
"èyé bàsírà, kéè ùdín ewó epo ká dè họ́n nù báì?",mí mọ̀ ùdín yewó epo ṣí họ́n nù báì,
ṣewó yìí mí yá dá hún àjọ oṣù yìí pọ̀nù?,ewó yìí mí yá dá hún àjọ oṣù yìí pọ̀nù,
ijọ́ ní sú wéè gbewó ní bánkì?,mì yá gbewó ní bánkì àná,
ṣì mí rí àtẹ̀jíṣẹ́ kàn nórí fóònù náti ọdọ̀ọ GTbánkì pé ọ̀n ká mú lóónù mìí bèrè hún huń mi?,mìí dédé rí àtẹ̀jíṣẹ́ kàn nórí fóònù náti ọdọ̀ọ GTbánkì pé ọ̀n-ọ́n ká mú lóónù mìí bèrè hún huń mi,
ṣò ó mọ bọ́ni ọ̀ ṣi í lo MoneyGram ati fewó ránṣẹ́ sókè òkun?,mìí mọ bọ́ni ọ̀ ṣi í lo MoneyGram ati fewó ránṣẹ́ sókè òkun,
kó oṣìṣẹ́ bánkì náà fọ̀ hàn mi nípa ọ̀họn ànfàní rẹ̀n?,oṣìṣẹ́ bánkì náà fọ̀ hàn mi pé ọ̀họn ànfàní rẹ̀n ká dálẹ̀,
kí iye mi fọ̀ hún mi nípa ewó yọ̀ọ́ bá mú í mi?,iye mi fọ̀ hún mi pé kí mi tọ́jú owó yọ̀ọ́ bá mú í mi dáadáa,
ṣẹ̀mí mi fọ̀ hàn mi péwó epo yòó gbéwónórí é walẹ̀ ná ì pẹ́?,ẹ̀mí mi fọ̀ hàn mi péwó epo yòó gbéwónórí é walẹ̀ ná ì pẹ́,
kée kete ọni í wá kọ́ni yá rayè kéwó jọ ọ́?,"kete ọni í wá bí àjọ ṣí yáà ránhọn ọwọ́, kọ́ni yá rayè kéwó jọ",
ṣi kete ìgbà iye mi bá yọ́jà né í nọ́jà?,kete ìgbà iye mi bá yọ́jà né í ná ọjà ní,
wòó yáà rànmi ọwọ́ pẹ̀lú ewó àjọ́ kọ?,"rárá, mábúnú, mí ì néwó",
"kí mì rí, mí ṣi mọ̀ pé ewó wa ká pàdánù iye?","ìgbà yì mìí rí pàṣípàrọ̀ ewó wa sí dọ́là, mìí mọ̀ pé ewó wa ká pàdánù iye",
"yàtò sí kọ́ni a kéwó pámọ sí bánkì déédé, kó dè yẹ kọ́ni ka ṣe é?","yàtò sí kọ́ni a kéwó pámọ sí bánkì déédé, ó dè yẹ kọ́ni ka ìnfẹ́stì sí ọ̀họn idóko-òwò míì",
ṣiba mi yú ọ́físì ọ̀họn ìnṣọ́ránsì ní oṣù ṣẹẹrẹ?,"iba mi yú ọ́físì ọ̀họn ìnṣọ́ránsì ní oṣù ṣẹẹrẹ, e dé í re ibẹ̀ ọ̀la",
ọjọ́ sú wé bẹ̀rẹ̀ èsúsú?,"ọjọ́ kíní, osù kíní ọdún 2026 ni mìí bẹ̀rẹ̀ èsúsú ní",
ṣé ó dè nídì kọ́ni ka yú bánkì ṣáṣáṣá kée bé yá ṣe ǹkànkàn ní bánkìí?,"é dè nídì kọ́ni ka yú bánkì ṣáṣáṣá, ọni yá lo ápù bánkì rẹ̀ hún kete hun yè bé á ṣe",
ṣulí ìtajà mí rérè díẹ̀ nóṣù yòó kọjáà?,"eyò, ulí ìtajà mí rérè díẹ̀ nóṣù yòó kọjá",
ṣìjọba àpapọ̀ fọ pé ewó-orí á gòkè síì ni oṣù ṣẹẹrẹ?,ìjọba àpapọ̀ fọ pé ewó-orí á gòkè síì ni oṣù ṣẹẹrẹ,
è sé í ṣe ìṣúná dáa yèé júu mọ bọ́ni è ṣì néwó?,"bí táyọ̀ ṣe í ṣe ìṣúná dáa, é í júu í mọ bọ́ni è ṣì néwó",
ṣì wó mọ̀ pé wòó yáà ra bitcoin wò bá lo bánkì?,mìí mọ̀ pé mìí yà ra bitcoin mòó bá lo bánkì,
si titá ọjà nóri ẹ̀rọ̀ àyélujára ká gbòde káàkiri?,titá ọjà nóri ẹ̀rọ̀ àyélujára ká gbodé káàkiri,
ápù sí bọ́lájí í lò nàti ra àwọn kóínì í?,bọ́lájí í lo ápù Roqqu nàti ra àwọn kóínì,
ṣi ATM ká gbewó ẹ jẹ́ ríì?,"bẹ́ẹ̀ni, ATM ká gbéwó mi jẹ rí",
ṣì mò rí àlátì ewó kàn àná yìi míì mọni yòó sẹ́ẹ́ndì ewó náàn?,"ń mò rí àlátì ewó kàn àná, míì mọ ọni yòó sẹ́ẹ́ndì ewó sí mi",
ṣọ̀gbẹ́ni fẹ́mi í kọ́ni nípa bọ́ni ṣi yáà ṣe ìṣúná ewó ọni,ọ̀gbẹ́ni fẹ́mi í kọ́ni nípa bọ́ni ṣi yáà ṣe ìṣúná ewó ọni,
urúu Fintech sé è yí bá ṣií ṣàkóso ewó ní Africa?,Fintech bíi Flutterwave ká yí bá ṣií ṣàkóso ewó ní Africa,
àyẹ̀wò ké è yẹ kó o ṣe kú we ṣí bẹ̀rẹ̀ sí ní tírédì í?,ṣàyẹ̀wò ọjà kú we ṣí bẹ̀rẹ̀ sí ní tírédì,
kéè yẹ kóo bèrè hún wò bá rẹrù yòó lálaá?,máà gbàgbé àti bèrè hún ẹ̀díwó wòó bá rẹrù yòó lála,
ṣó yùn mọ́ mi pé mìí rénì nórí ọjà mìí rà?,ó yùn mọ́ mi pé mìí rénì nórí ọjà mìí rà,
ṣi demíládé fọ̀ pé uhun yáà rí bẹ́nìí títí doṣù yèé wa,demíládé fọ̀ pé uhun yáà rí bẹ́nìí títí doṣù yèé wa,
ṣé kọ́ni ṣètò hún násìkò ajé nira ṣi pàtàkì?,kọ́ni ṣètò hún násìkò ajé nira ṣe pàtàkì,
ijọ́ sú wè gbewó ní bánkìí?,mìí gbewó ní bánkì nọ́jọ́ ajé,
ṣò ó nẹ́ ìrírí yòó búru pẹ̀lú lílò ápù Mobile Bank hún ìdóko-òwò,míi nẹ́ ìrírí yòó búru pẹ̀lú lílò ápù Mobile Bank hún ìdóko-òwò,
kéè yẹ kọ́ni ṣe é núgbà ajé máà wá?,"kódà kájé máà wá, wòó ṣàtúpalẹ̀ ìṣúná wa",
ṣilí-iṣẹ́ wa ké é pinu àti néwó sọ́họn tẹkinọ́lọ́gì tuntun rẹ̀n kusẹ́ yáà yá?,"kúṣẹ́ yáà yá, ulí-iṣẹ́ wa ké pinu àti néwó sí àwọn tẹkinọ́lọ́gì tuntun rẹ̀n",
kí mìí á bẹ̀rẹ̀ síí tàá?,ó ṣe pàtàkì torí mìí yá bẹ̀rẹ̀ síí taṣọ,
ṣi tádé lòó ijọ́sí náti sẹ́ǹdì ewó sí iba ẹ̀?,"tádé lòó ijọ́sí, ó hun sẹ́ǹdì ewó sí iba ẹ̀",
èlú ọ̀sẹ̀ sọ́ mú hún ọ kóhun déwó rẹ̀n pàdà?,"à ká gbọ́, àmọ́ ọ̀sẹ̀ kàn nàá mú hún ọ kóhun déwó rẹ̀n pàdà ní",
 ṣó ó ká sún kete ọni?,"ké tété walẹ̀ ní o, ó ká sún kete ọni báì",
ṣò ó réwó mìí hún ránṣẹ́ sí ọ?,"mìí réwó yòó hun ránṣé, ṣere mi",
ṣì mí hun sẹ́ẹ̀ndi ewóò?,"mìí hun sẹ́ẹ̀ndi ewó, é fọ́ni ní wàhálà",
ọ̀họn ọni sú wè bá dúnádúràá?,ọ̀họn alágbàtà nì mí bá  dúnádúrà ní,
èlú sọ́ í ta dísù níyì ilépo Amọ̀ọ́rìn-ín?,ẹ̀gbẹ̀wá náírà nà í ta dísù níyì ilépo Amọ̀ọ́rìn-ín ní,
ọwọ́ ọni sí wò ṣí bèrè èlú yọ̀ í ta díṣùú?,ọwọ́ ṣayọ̀ ni mìí ṣí wò ṣí bèrè èlú yọ̀ í ta díṣùú,
è sé ì ṣuṣẹ́ níbẹ̀ ẹ́?,"ọwọ́ kíkẹ́ ni mìí ṣi bèrè ní,  íbẹ̀ ne ṣi ṣuṣẹ́ ní",
uṣẹ́ si kíkẹ́ í ṣe níbẹ̀ ẹ́?,àkátántì ni kíkẹ́ í ṣe níbẹ̀ ni,
Wò ó mọ̀ ọ̀họn òfin titun nípa ewo-orí?,"eyò, mìí mọ ọ̀họn òfin titun nípa ewó-orí",
ṣì mí gbọ́ nípa bitcoin?,mí mọ̀ nípa òfin titun àmọ mìí gbọ í pé bitcoin ká rodò,
wè í ra bitcoin kọ́ọ̀?,"eyò, mìí ra bitcoin, ó dẹ̀ wọ́n nù",
sì mìí ṣetán àti darapọ̀ mọ́ ẹ̀gbẹ̀ àjọ yè í ṣètò béwó ṣi í wọlí ní àdúgbò wa?,mìí ṣetán àti darapọ̀ mọ́ ẹ̀gbẹ̀ àjọ yè í ṣètò béwó ṣi í wọlí ní àdúgbò wa,
ṣọ́họn yèé tajà nílò àtìlẹ́yìn díẹ̀ násìkò yà wa í?,ọ̀họn yèé tajà nílò àtìlẹ́yìn díẹ̀ násìkò yà wa yí,
ṣòó yáà hun ewó pamọ hún ìrìnàjò kí wọ̀ọ́ bá ṣàjọ hún ìgbà díẹ̀?,wòó yáà hun ewó pamọ hún ìrìnàjò kí wọ̀ọ́ bá ṣàjọ hún ìgbà díẹ̀,
wòó rí àwòrán iye ayọ̀ nọ́jà àná-àn?,mìí ráwòrán iye ayọ̀ nọ́jà àná,
"míì ráwòrán iye-ayò, kèé ṣe?",míiì mọ nhun iye-ayọ̀ se,
ṣó ká dá ewó gbọ́múlé láńtà yòó gbà padàá?,"ó mò gbewó gbọ́múlé láńtà ní, è ṣì sán padà",
kó ì pèní ewó gbọ́múlé láńtà á?,ewó Lápó nà í pè ní ewó gbọ́múlé láńtà,
ṣọ̀họn Lápó í yá ni ewó?,"wéè mọ ǹkankàn, ewó Lápó nọ̀ í pè bẹ́ẹ̀ní, àwọn Lápó í ya ni ewó",
kéè hun ewó rẹ̀n ṣe?,ó hun ewó rẹ̀n rajà,
kí mì gbọ pé ó hun ewó rẹ̀n ràá?,mí gbọ í pé ó hun ra kòkó àmọ ewó kòkó já,
ṣọ́ni á fílì fọ́ọ̀mù ke bé yá gbewó ní káńtà?,"jí mi fọ̀ án ẹ, wàá fílì fọ́ọ̀mù kí wèé bé yá gbewó ní káńtà",
ọni sí mìí wá àtòórọ̀ nìí?,"ó mò sán ni báyìí, à tòórọ̀ ni mì ṣí wá ọmọ oní POS ní",
kéè intírẹ́stì yèé nórí ewó yòó yá?,míì rántí eye ìntírẹ́stì ye nórí ewó yì mí yá,
wòó ká gbìyànjú ẹ̀?,rárá mìí ṣì gbìyànjú ẹ̀ wò,
èlú sú wéè ra góòlù rẹ̀n?,mílíọ̀nù kàn ni mìí góòlù rẹ̀n ní,
ṣọmọge Yorùbá mọ í pé ó pọndandan kée wọ aṣọ ẹbí ní kete ayẹyẹ ìbílẹ̀?,ọmọge Yorùbá mọ í pé ó pọndandan kée wọ aṣọ ẹbí ní kete ayẹyẹ ìbílẹ̀,
"ùgbà í délé í wa nọ́sàn rẹ̀n, ibo sé è gòó?","ùgbà délé í wa nọ́sàn rẹ̀n, ó go iwájú ilí mi kọjà, é dẹ̀ kọ́n nì kànkàn",
ṣi délé nèkọ́?,"délé é nèkọ́ páàpáà, etín ẹ̀ rán nù. é gbétín",
kọ́ọ̀ ṣi í kọ́ni ni yèé ṣẹ̀ í toko i wa á?,míì rántí bọ́n ṣìí kọ́ni yèé ṣẹ̀ í toko i wa,
è sọ́ í kín ní kàbá? è sọ́ í kín ní kèyé?,"ọkùnrẹn nà í kín kàbá ní, ọbìnrẹn nà í kín kèyé ní",
kọ́ ṣi í fọ̀ í pé ọni mò ṣé?,mí mọ̀ bọ́ni ọ̀ ṣi kọ́ni póṣé,
kọ́ í fọ̀ ọ́?,ọ̀ í fọ̀ í pé sere ò olúwàmi,
ọdún sọ́ ì ṣe kọ́n-ọn sí ṣọdún Ṣúpárè deè?,míì rántí ọdún yọ̀ í ṣe kọ́n-ọn ṣí ṣọdún ṣúpárè deè,
ṣọ̀ í gbe olúndolè kọ ṣí ṣọdún Ṣúpárè deè?,ọ̀ í gbe olúndolè kọ ṣí ṣe ọdún Ṣúpárè deè,
kàrí ijọ́ ọdún Ṣúpárè deè bọ́ sí ọdún ní 2026?,ọdún Ṣupárè deè bọ́ sí ọjọ́ kẹ́jọ oṣù ògún  nọdún 2026,
ṣọ̀ ọ́ ṣọdún Ṣupárè deè ní ọjọ́ kẹ́jọ oṣù kẹ́jọ ọdún 2026?,ọ̀ ṣọdún Ṣupárè deè ní ọjọ́ kẹ́jọ oṣù kẹ́jọ ọdún 2026,
ṣoríkì í kú ù?,"oríkì í kú, oríkì é rí bíi èròjà yóò ṣe pàtàkì ní àṣà Yorùbá",
ṣì wọ́ mọ oríkì ulí yẹn?,eyò mìí mọríkì ulí wa,
ṣò ó dè mọ oríkì ulú Ṣúpáè?,"mìí mọ oríkì ulí wa, mìí dè mọ oríkì ulú Ṣúpáè",
è sé e ọlọ́bìnrẹnlẹ̀ẹ́ núlùú Ṣúpáè é? ,olórí ọbìnrẹn ne rè ní,
ṣà í ka ewédú àti àmàlà súǹjẹ nálẹ̀ Yorùbá?,à á ka ewédú àti àmàlà súǹjẹ nálẹ̀ Yorùbá,
"nalẹ̀ Yorùbá, ṣó san kọ́ni ju únjẹ nójú oorun?","nalẹ̀ Yorùbá, é san kọ́ni ju únjẹ nójú oorun, é túmọ̀ sí nhun yèé máà san",
kọ́ ọ̀ í pọmọ méjì yọ̀-ọ́n bá bí nẹ́ẹ̀kàn?,ọmọ méjì yọ̀ọ́ bá bí nẹ́ẹ̀kàn náà nà í pè ní ìbejì ní,
kọ́ ọ̀ í pọ̀mọ̀ yọ̀-ọ́n  bí nẹ́yìn ìbejìí?,ìdòwú nà í pe ìyí yọ̀ọ́ bí tẹ̀lé wọn ní,
kọ́ ọ̀ ì pọmọ ọmọ yọ̀-ọ́n bí tẹ̀lé ìdòwú?,Àlàbá nà í sọmọ yọ̀ọ́ bí tẹ̀lé Ìdòwú ní,
kọ́ ọ̀ ì pọmọ ọmọ yọ̀-ọ́n bí tẹ̀lé àlàbá?,ìdògbé nà í sọmọ yọ̀ọ́ bí tẹ̀lé Ìdòwú ní,
"kára ọni bá má yá, kọ̀ í mú hún ọni ọn bé má gbé e yú ilé-ìwòsàn-án?",àgbo nà í mú hún ọni ara ẹ̀ bé má yá ké bé má fẹ́ yú ilé-ìwòsàn ní,
kọ́n mú nhun ọ ùgbà ara ẹ̀ máyàá?,àgbo nàá mú hún mi ùgbà ara mi má yàá,
ṣàṣà í yípadà  kéyà bágbà múu?,"àṣà é è parun, e kọ̀ í yípadà ní kéyà bágbà mu",
wòó ká gbọ́ orin Ayo Balogun yòó fọ̀ nípà èdè àti àṣà Yorùbá?,míì ṣì gbọ́rin Ayo Balogun yòó fọ̀ nípà èdè àti àṣà Yorùbá,
